Date : 2022-03-12 18:56:19
Directory : /home/Aaron-Li/Obsidian_Workspace
Total : 246 files,  276964 codes, 143025 comments, 38643 blanks, all 458632 lines

Languages
+----------------------+------------+------------+------------+------------+------------+
| language             | files      | code       | comment    | blank      | total      |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Charcoal.css                                                             | CSS                  |      1,245 |        400 |        370 |      2,015 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Christmas.css                                                            | CSS                  |         84 |          6 |         14 |        104 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Cidreira Coast.css                                                       | CSS                  |      5,020 |        231 |        804 |      6,055 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Clair de Lune.css                                                        | CSS                  |      1,118 |          2 |        108 |      1,228 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Comfort Smooth.css                                                       | CSS                  |        690 |        128 |        237 |      1,055 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Comfort color dark.css                                                   | CSS                  |        325 |         44 |         57 |        426 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Creature.css                                                             | CSS                  |        818 |          5 |         64 |        887 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Cyber Glow.css                                                           | CSS                  |      2,228 |        179 |        489 |      2,896 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Cybertron.css                                                            | CSS                  |      2,052 |        212 |        438 |      2,702 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Dark Graphite Pie.css                                                    | CSS                  |      1,063 |        226 |        193 |      1,482 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Dark Graphite.css                                                        | CSS                  |      1,246 |        399 |        368 |      2,013 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Dark Moss.css                                                            | CSS                  |        497 |         61 |        108 |        666 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Darkyan.css                                                              | CSS                  |         55 |          0 |          7 |         62 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Deep Work.css                                                            | CSS                  |        662 |          0 |         45 |        707 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Deep.css                                                                 | CSS                  |        219 |         30 |         56 |        305 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Discordian.css                                                           | CSS                  |      3,082 |        305 |        788 |      4,175 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Dracula for Obsidian.css                                                 | CSS                  |        470 |        134 |        114 |        718 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Ebullientworks.css                                                       | CSS                  |      1,857 |        100 |        155 |      2,112 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Emerald.css                                                              | CSS                  |        537 |         78 |        143 |        758 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Everforest.css                                                           | CSS                  |        459 |         57 |         78 |        594 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Faded.css                                                                | CSS                  |      1,475 |        499 |        374 |      2,348 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Firefly.css                                                              | CSS                  |        672 |          0 |         50 |        722 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Friendly.css                                                             | CSS                  |      1,480 |         92 |        352 |      1,924 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/GDCT Dark.css                                                            | CSS                  |      1,252 |        388 |        369 |      2,009 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/GDCT.css                                                                 | CSS                  |      1,243 |        389 |        365 |      1,997 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Gastown.css                                                              | CSS                  |        334 |         84 |        110 |        528 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Gitsidian.css                                                            | CSS                  |        448 |         14 |        102 |        564 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Golden Book.css                                                          | CSS                  |      1,425 |        244 |        365 |      2,034 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Golden Coffee.css                                                        | CSS                  |      1,454 |        255 |        375 |      2,084 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Golden Topaz.css                                                         | CSS                  |      3,521 |      1,324 |        656 |      5,501 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Higlighter.css                                                           | CSS                  |        608 |         37 |        131 |        776 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Hipstersmoothie.css                                                      | CSS                  |        261 |         13 |         46 |        320 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Horizon.css                                                              | CSS                  |          1 |          0 |          0 |          1 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Hulk.css                                                                 | CSS                  |        464 |         92 |        114 |        670 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/ITS Theme.css                                                            | CSS                  |      5,510 |      1,935 |        790 |      8,235 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Iceberg.css                                                              | CSS                  |        204 |         18 |         19 |        241 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Illusion.css                                                             | CSS                  |      1,142 |         12 |          8 |      1,162 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Lizardmen Zettelkasten.css                                               | CSS                  |        966 |         98 |        278 |      1,342 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Mammoth.css                                                              | CSS                  |        311 |         31 |         30 |        372 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Minimal.css                                                              | CSS                  |      5,865 |        901 |        348 |      7,114 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Molecule.css                                                             | CSS                  |        250 |         26 |         50 |        326 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Moonlight.css                                                            | CSS                  |        286 |         30 |         72 |        388 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Night Owl.css                                                            | CSS                  |        512 |        160 |        128 |        800 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Notation.css                                                             | CSS                  |        626 |         85 |        120 |        831 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Obsdn-Dark-Rmx.css                                                       | CSS                  |      1,590 |         79 |        267 |      1,936 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Obsidian Boom.css                                                        | CSS                  |        153 |         17 |         41 |        211 |
